Corinthians,GolCorinthians ,vs,GolAdv,ADV,Corinthians_Vitoria
CORINTHIANS,0,versus,0,GRÊMIO,0
CORINTHIANS,1,versus,1,VASCO DA GAMA,0
CORINTHIANS,1,versus,0,CHAPECOENSE,1
CORINTHIANS,2,versus,3,BAHIA,0
CORINTHIANS,2,versus,0,CHAPECOENSE,1
CORINTHIANS,2,versus,1,SÃO PAULO,1
CORINTHIANS,0,versus,1,CHAPECOENSE,0
CORINTHIANS,0,versus,0,SÃO PAULO,0
CORINTHIANS,0,versus,1,SANTOS,0
CORINTHIANS,0,versus,1,CEARÁ,0
CORINTHIANS,2,versus,1,SANTOS,1
CORINTHIANS,1,versus,1,FERROVIÁRIA,0
CORINTHIANS,1,versus,1,FERROVIÁRIA,0
CORINTHIANS,1,versus,0,ITUANO,1
CORINTHIANS,1,versus,0,OESTE,1
CORINTHIANS,3,versus,1,CEARÁ,1
CORINTHIANS,0,versus,0,SANTOS,0
CORINTHIANS,1,versus,1,SÃO BENTO,0
CORINTHIANS,1,versus,1,RACING CLUB,0
CORINTHIANS,1,versus,0,BOTAFOGO-SP,1
CORINTHIANS,4,versus,2,AVENIDA,1
CORINTHIANS,2,versus,1,SÃO PAULO,1
CORINTHIANS,1,versus,1,RACING CLUB,0
CORINTHIANS,0,versus,1,NOVORIZONTINO,0
CORINTHIANS,2,versus,2,FERROVIÁRIO,0
CORINTHIANS,1,versus,0,PALMEIRAS,1
CORINTHIANS,0,versus,2,RED BULL BRASIL,0
CORINTHIANS,1,versus,0,PONTE PRETA,1
CORINTHIANS,1,versus,2,GUARANI,0
CORINTHIANS,1,versus,1,SÃO CAETANO,0
CORINTHIANS,1,versus,1,SANTOS,0
CORINTHIANS,0,versus,1,GRÊMIO,0
CORINTHIANS,0,versus,0,CHAPECOENSE,0
CORINTHIANS,0,versus,1,ATHLETICO-PR,0
CORINTHIANS,1,versus,0,VASCO DA GAMA,1
CORINTHIANS,0,versus,1,CRUZEIRO,0
CORINTHIANS,1,versus,1,SÃO PAULO,0
CORINTHIANS,0,versus,1,BOTAFOGO,0
CORINTHIANS,2,versus,1,BAHIA,1
CORINTHIANS,2,versus,2,VITÓRIA,0
CORINTHIANS,1,versus,2,CRUZEIRO,0
CORINTHIANS,0,versus,1,SANTOS,0
CORINTHIANS,0,versus,1,CRUZEIRO,0
CORINTHIANS,0,versus,3,FLAMENGO,0
CORINTHIANS,0,versus,0,AMÉRICA-MG,0
CORINTHIANS,2,versus,1,FLAMENGO,1
CORINTHIANS,1,versus,1,INTERNACIONAL,0
CORINTHIANS,2,versus,1,SPORT,1
CORINTHIANS,0,versus,0,FLAMENGO,0
CORINTHIANS,0,versus,1,PALMEIRAS,0
CORINTHIANS,1,versus,2,CEARÁ,0
CORINTHIANS,1,versus,1,ATLÉTICO-MG,0
CORINTHIANS,2,versus,1,COLO-COLO,1
CORINTHIANS,1,versus,0,PARANÁ CLUBE,1
CORINTHIANS,0,versus,1,FLUMINENSE,0
CORINTHIANS,0,versus,1,GRÊMIO,0
CORINTHIANS,1,versus,0,CHAPECOENSE,1
CORINTHIANS,1,versus,2,CHAPECOENSE,0
CORINTHIANS,0,versus,1,COLO-COLO,0
